date,ticker,name,major,sub,benchmark,close,signal,entry_pct,minentry,maxentry,stop,atrpct,dev,selfvol,er22,er55,r0,mult,buf
2026-07-07,AA,Alcoa Corporation,矿,铝加工,XME,49.01,Bad Market,,81.5326,82.5415,70.3381,0.0686,-3.1746,0.0222,0.6346,0.1932,12.2034,4,0.2
2026-07-07,AAOI,"Applied Optoelectronics, Inc.",科技,光通信,XLK,114.41,Wait,,206.7758,212.6046,145.3835,0.1698,-2.2602,0.1035,0.2595,0.0628,67.221,4,0.2
2026-07-07,AAPL,Apple Inc.,科技,消费电子,QQQ,310.66,Wait,,315.7666,318.2839,285.832,0.027,1.8813,0.2049,0.0036,0.213,32.4519,3.5,0.3702
2026-07-07,ABVX,Abivax SA,医药,生物技术,XLV,142.17,Wait,,146.6638,149.6846,104.3732,0.0708,3.5456,0.2498,0.4817,0.0721,45.3114,4,0.2
2026-07-07,ACLS,"Axcelis Technologies, Inc.",科技,半导体,SOXX,131.54,Bad Market,,194.4959,198.8396,133.683,0.1101,-2.7088,0.4563,0.1278,0.0339,65.1567,4,0.2
2026-07-07,ADI,"Analog Devices, Inc.",科技,半导体,SOXX,379.03,Bad Market,,449.2703,454.8356,380.5512,0.0489,-1.5068,0.2554,0.2237,0.0445,74.2844,3.5,0.2043
2026-07-07,AEHR,Aehr Test Systems,科技,半导体材料,SOXX,66.94,Bad Market,,118.9353,122.4683,69.474,0.1759,-2.6411,0.2569,0.345,0.042,52.9943,4,0.2
2026-07-07,AEM,Agnico Eagle Mines Limited,矿,金,GDX,150.33,Bad Market,,178.2533,180.3666,195.4447,0.0469,-1.4598,-0.0797,0.2342,0.2687,-15.0781,3.5,0.2134
2026-07-07,AES,The AES Corporation,可再生能源,再生能源,XLU,14.62,Wait,,14.7654,14.7867,14.5173,0.0048,-0.4302,-0.5287,0.1343,0.0659,0.2694,3,0.5
2026-07-07,AEVA,"Aeva Technologies, Inc.",科技,软件,XLK,21.57,Wait,,29.3446,30.2815,16.7977,0.1448,-0.7509,0.3385,0.1079,0.0899,13.4838,4,0.2
2026-07-07,AG,First Majestic Silver Corp.,矿,银,SIL,16.45,Bad Market,,19.9949,20.3323,19.7115,0.0684,-0.7318,-0.1261,0.2246,0.1199,0.6208,4,0.2
2026-07-07,AGI,Alamos Gold Inc.,矿,金,GDX,30.52,Bad Market,,38.9797,39.5342,41.9565,0.0606,-1.5795,-0.0782,0.2866,0.2819,-2.4223,4,0.2
2026-07-07,AGRO,Adecoagro S.A.,化工,农业,MOO,9.62,Bad Market,,12.2862,12.4304,13.4972,0.05,-1.0597,-0.1642,0.4647,0.1921,-1.0667,3.5,0.2001
2026-07-07,AHR,"American Healthcare REIT, Inc.",医药,医疗地产,XLRE,54.93,Wait,,55.5893,56.0689,49.4446,0.0291,3.679,0.1135,0.5,0.1004,6.6243,3.5,0.3436
2026-07-07,AIR,AAR Corp.,航空国防卫星,航空航天国防,ITA,136.63,Wait,,144.9763,146.619,124.4453,0.0401,0.794,0.1385,0.3916,0.1268,22.1736,3.5,0.2495
2026-07-07,AKAM,"Akamai Technologies, Inc.",科技,软件,IGV,114.37,Wait,,161.6085,163.4812,136.1705,0.0546,-1.7125,0.0336,0.6657,0.0843,27.3107,4,0.2
2026-07-07,ALAB,"Astera Labs, Inc.",科技,半导体,SOXX,382.89,Bad Market,,491.6207,504.5217,311.0061,0.1123,-0.2218,0.5989,0.035,0.2231,193.5156,4,0.2
2026-07-07,ALB,Albemarle Corporation,化工,锂电池,XLB,129.02,Wait,,171.9933,174.3531,184.1549,0.061,-2.6425,-0.1026,0.3736,0.3283,-9.8018,4,0.2
2026-07-07,ALGM,"Allegro MicroSystems, Inc.",科技,半导体,SOXX,51.55,Bad Market,,70.6924,72.3011,48.1713,0.104,-0.7104,0.5431,0.0198,0.0999,24.1298,4,0.2
2026-07-07,ALKS,Alkermes plc,医药,生物制药,XBI,55.22,Wait,,55.6922,56.3082,47.9528,0.0372,3.5318,0.3009,0.5244,0.4634,8.3554,3.5,0.2689
2026-07-07,ALM,Almonty Industries Inc.,矿,钨矿,XME,15.2,Bad Market,,20.9599,21.3797,17.8222,0.0921,-1.2508,-0.0342,0.299,0.1661,3.5575,4,0.2
